barcode,desc_short,CLIR_status,json_status,old_json,old_json_src,bibliocommons,call_number,publisher,publisher_full,geo_extent,geo_extent_discrete,year,title,bibliocommons_control
39999059010650,boston proper 1874,complete,new index,https://apps.bpl.org/nblmc/indexes/index-hopkins-1874-vol1.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-hopkins-1874-vol1.geojson,"https://bpl.bibliocommons.com/item/show/2887551075_atlas_of_the_county_of_suffolk,_massachusetts",G1233_S8_H6_1874v1,Hopkins,Philadelphia : G.M. Hopkins & Co.,"Boston Proper, Back Bay, Fenway/Kenmore, South End",Boston proper,1874,"Atlas of the County of Suffolk, Massachusetts",2887551075
39999059015410,boston proper 1874,complete,new index,https://apps.bpl.org/nblmc/indexes/index-beers-1874-boston.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-beers-1874-boston.geojson,https://bpl.bibliocommons.com/item/show/1459997075_fire_insurance_district_atlas,G1234_B6G475_B44_1874,F.W. Beers & Co.,New York : F.W. Beers & Co.,Boston proper,Boston proper,1874,Fire Insurance District Atlas,1459997075
39999059010825,boston 1882,complete,new index,https://apps.bpl.org/nblmc/indexes/index-hopkins-1882-boston.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-hopkins-1882-boston.geojson,"https://bostonpl.bibliocommons.com/item/show/2788460075_city_atlas_of_boston,_massachusetts",G1234_B6_H6_1882,Hopkins,Philadelphia : G.M. Hopkins.,"Boston Proper, Back Bay, Fenway/Kenmore, South End","Boston proper,Brighton,Charlestown,Dorchester,East Boston,Roxbury,South Boston,West Roxbury",1882,"City Atlas of Boston, Massachusetts",2788460075
39999085945739,boston proper 1882,complete,new index,https://apps.bpl.org/nblmc/indexes/index-sanborn-1882-bostonvol1.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-sanborn-1882-bostonvol1.geojson,https://bpl.bibliocommons.com/item/show/6413000075,G1234_B6G475_S36_1885_v1,Sanborn,New York : Sanborn Map & Publishing Co.,Boston proper,Boston proper,1882,Insurance Maps of Boston,6413000075
39999059010908,boston proper 1883,complete,new index,https://apps.bpl.org/nblmc/indexes/index-bromley-1883-bostonproper.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1883-bostonproper.geojson,https://bpl.bibliocommons.com/item/show/2887730075_atlas_of_the_city_of_boston,G1234_B6_B7_1883_v1,Bromley,Philadelphia : Geo .W. and Walter S. Bromley.,Boston proper,Boston proper,1883,Atlas of the City of Boston,2887730075
39999059011096,boston proper 1888 v.1,complete,new index,https://apps.bpl.org/nblmc/indexes/index-bromley-1888-bostonproperv1.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1888-bostonproperv1.geojson,"https://bpl.bibliocommons.com/item/show/411786075_atlas_of_the_city_of_boston,_mass",G1234_B6_B7_1888_v1,Bromley,Philadelphia : G.W. Bromley & Co.,Downtown,Boston proper,1888,"Atlas of the City of Boston, Mass",411786075
39999059011104,boston proper 1888 v.2,complete,new index,https://apps.bpl.org/nblmc/indexes/index-bromley-1888-bostonproperv2.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1888-bostonproperv2.geojson,"https://bpl.bibliocommons.com/item/show/411786075_atlas_of_the_city_of_boston,_mass",G1234_B6_B7_1888_v2,Bromley,Philadelphia : G.W. Bromley & Co.,Back Bay/South End,Boston proper,1888,"Atlas of the City of Boston, Mass",411786075
39999059011088,boston proper 1890,complete,new index,https://apps.bpl.org/nblmc/indexes/index-bromley-1890-bostonproperandroxbury.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1890-bostonproperandroxbury.geojson,"https://bpl.bibliocommons.com/item/show/1460102075_atlas_of_the_city_of_boston,_city_proper_and_roxbury",G1234_B6_B7_1890,Bromley,Philadelphia : G.W. Bromley & Co.,"Boston proper, Roxbury","Boston proper,Roxbury",1890,"Atlas of the city of Boston, city proper and Roxbury",1460102075
39999059011153,boston proper 1898,complete,new index,https://apps.bpl.org/nblmc/indexes/index-bromley-1898-bostonproper.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1898-bostonproper.geojson,"https://bpl.bibliocommons.com/item/show/2788477075_atlas_of_the_city_of_boston,_boston_proper",G1234_B6_B7_1898,Bromley,Philadelphia : G.W. Bromley and Co.,Boston proper,Boston proper,1898,"Atlas of the City of Boston, Boston Proper",2788477075
39999059011682,boston proper 1928,complete,new index,https://apps.bpl.org/nblmc/indexes/index-bromley-1928-bostonproper.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1928-bostonproper.geojson,https://bpl.bibliocommons.com/item/show/1460875075_atlas_of_the_city_of_boston,G1234_B6_B7_1928x,Bromley ,Philadelphia : G.W. Bromley & Co.,Boston proper,Boston proper,1928,Atlas of the City of Boston,1460875075
39999059011690,boston proper 1938,complete,new index,https://apps.bpl.org/nblmc/indexes/index-bromley-1938-bostonproper.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1928-bostonproper.geojson,https://bpl.bibliocommons.com/item/show/510234075_atlas_of_the_city_of_boston,G1234_B6_B7_1938,Bromley,Philadelphia : G.W. Bromley & Co.,Boston proper,Boston proper,1938,Atlas of the City of Boston,510234075
39999059010668,brighton 1875,complete,new index,https://apps.bpl.org/nblmc/indexes/index-hopkins-1874-vol7.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-hopkins-1874-vol7.geojson,"https://bpl.bibliocommons.com/item/show/2887551075_atlas_of_the_county_of_suffolk,_massachusetts",G1233_S8_H6_1874v7,Hopkins,Philadelphia : G.M. Hopkins & Co.,Brighton,Brighton,1875,"Atlas of the County of Suffolk, Massachusetts",2887551075
